Grid,Lat-BL,Long-BL,Lat-Cen,Long-Cen,,LightInfo,Elevation,Rent,Tourist
1,53.25,-6.5,53.2625,-6.475,"53.2625,-6.475",1.99,250,"€1,771",
2,53.275,-6.5,53.2875,-6.475,"53.2875,-6.475",9.09,104,"€1,771",
3,53.3,-6.5,53.3125,-6.475,"53.3125,-6.475",5.62,80,"€1,743",
4,53.325,-6.5,53.3375,-6.475,"53.3375,-6.475",6.09,56,"€1,760",
5,53.35,-6.5,53.3625,-6.475,"53.3625,-6.475",10.88,23,"€1,760",
6,53.375,-6.5,53.3875,-6.475,"53.3875,-6.475",1.92,64,"€1,291",
7,53.4,-6.5,53.4125,-6.475,"53.4125,-6.475",11.09,72,"€1,291",
8,53.425,-6.5,53.4375,-6.475,"53.4375,-6.475",8,71,"€1,291",
9,53.45,-6.5,53.4625,-6.475,"53.4625,-6.475",1.08,83,"€1,291",
10,53.475,-6.5,53.4875,-6.475,"53.4875,-6.475",1.48,90,"€1,291",
11,53.25,-6.45,53.2625,-6.425,"53.2625,-6.425",2.34,251,"€1,771",
12,53.275,-6.45,53.2875,-6.425,"53.2875,-6.425",41.85,110,"€1,771",
13,53.3,-6.45,53.3125,-6.425,"53.3125,-6.425",11.94,78,"€1,743",
14,53.325,-6.45,53.3375,-6.425,"53.3375,-6.425",17.04,59,"€1,743",
15,53.35,-6.45,53.3625,-6.425,"53.3625,-6.425",9.57,44,"€1,771",
16,53.375,-6.45,53.3875,-6.425,"53.3875,-6.425",17.04,59,"€1,778",
17,53.4,-6.45,53.4125,-6.425,"53.4125,-6.425",49.2,63,"€1,778",
18,53.425,-6.45,53.4375,-6.425,"53.4375,-6.425",2.35,69,"€1,778",
19,53.45,-6.45,53.4625,-6.425,"53.4625,-6.425",0.91,81,"€1,291",
20,53.475,-6.45,53.4875,-6.425,"53.4875,-6.425",0.93,75,"€1,291",
21,53.25,-6.4,53.2625,-6.375,"53.2625,-6.375",3.78,144,"€1,771",
22,53.275,-6.4,53.2875,-6.375,"53.2875,-6.375",52.94,100,"€1,771",
23,53.3,-6.4,53.3125,-6.375,"53.3125,-6.375",22.3,66,"€1,743",
24,53.325,-6.4,53.3375,-6.375,"53.3375,-6.375",28.01,51,"€1,809",
25,53.35,-6.4,53.3625,-6.375,"53.3625,-6.375",10.86,52,"€1,778",
26,53.375,-6.4,53.3875,-6.375,"53.3875,-6.375",31.25,50,"€1,778",
27,53.4,-6.4,53.4125,-6.375,"53.4125,-6.375",43.49,84,"€1,778",
28,53.425,-6.4,53.4375,-6.375,"53.4375,-6.375",3.65,72,"€1,778",
29,53.45,-6.4,53.4625,-6.375,"53.4625,-6.375",1.09,69,"€1,778",
30,53.475,-6.4,53.4875,-6.375,"53.4875,-6.375",3.92,61,"€1,291",
31,53.25,-6.35,53.2625,-6.325,"53.2625,-6.325",3.34,157,"€1,771",
32,53.275,-6.35,53.2875,-6.325,"53.2875,-6.325",24.23,68,"€1,977",
33,53.3,-6.35,53.3125,-6.325,"53.3125,-6.325",17.9,53,"€1,911",
34,53.325,-6.35,53.3375,-6.325,"53.3375,-6.325",29.31,27,"€1,999",
35,53.35,-6.35,53.3625,-6.325,"53.3625,-6.325",11.15,50,"€1,925",
36,53.375,-6.35,53.3875,-6.325,"53.3875,-6.325",10.47,56,"€1,646",
37,53.4,-6.35,53.4125,-6.325,"53.4125,-6.325",31.04,78,"€1,763",
38,53.425,-6.35,53.4375,-6.325,"53.4375,-6.325",3.1,75,"€1,778",
39,53.45,-6.35,53.4625,-6.325,"53.4625,-6.325",1.59,72,"€1,778",
40,53.475,-6.35,53.4875,-6.325,"53.4875,-6.325",0.9,40,"€1,646",
41,53.25,-6.3,53.2625,-6.275,"53.2625,-6.275",5.95,147,"€1,977",
42,53.275,-6.3,53.2875,-6.275,"53.2875,-6.275",20.48,57,"€2,112",
43,53.3,-6.3,53.3125,-6.275,"53.3125,-6.275",23.7,40,"€2,142",
44,53.325,-6.3,53.3375,-6.275,"53.3375,-6.275",66.47,14,"€1,999",
45,53.35,-6.3,53.3625,-6.275,"53.3625,-6.275",44.64,27,"€1,925",
46,53.375,-6.3,53.3875,-6.275,"53.3875,-6.275",20.81,59,"€1,763",
47,53.4,-6.3,53.4125,-6.275,"53.4125,-6.275",15.11,70,"€1,763",
48,53.425,-6.3,53.4375,-6.275,"53.4375,-6.275",4.18,69,"€1,646",
49,53.45,-6.3,53.4625,-6.275,"53.4625,-6.275",1.64,70,"€1,646",
50,53.475,-6.3,53.4875,-6.275,"53.4875,-6.275",1.53,21,"€1,646",
51,53.25,-6.25,53.2625,-6.225,"53.2625,-6.225",13.16,128,"€2,112",
52,53.275,-6.25,53.2875,-6.225,"53.2875,-6.225",17.36,72,"€2,112",
53,53.3,-6.25,53.3125,-6.225,"53.3125,-6.225",39.38,16,"€2,486",
54,53.325,-6.25,53.3375,-6.225,"53.3375,-6.225",136.07,3,"€2,486",
55,53.35,-6.25,53.3625,-6.225,"53.3625,-6.225",33.44,5,"€2,016",
